Date,Type,Link
2021-06-18 16:10:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811512987858300928?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6811512987858300928%2C6811533984988700672%29
2021-06-18 16:10:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811512987858300928
2021-06-18 15:54:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811672435453120512
2021-06-18 15:51:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811441318645125120
2021-06-18 15:45:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811542456321085440
2021-06-18 05:58:40,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811529499918778368
2021-06-18 02:30:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6807511872108036096
2021-06-18 02:27:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811253427734237184
2021-06-18 02:26:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811183998136578048
2021-06-18 02:12:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811181086391971840
2021-06-18 02:05:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811119263487791104
2021-06-18 02:05:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811172847738875904
2021-06-18 02:04:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6811238444359024640
2021-06-18 01:58:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6807896310465859584
2021-06-18 01:56:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811169158659756032?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6811169158659756032%2C6811252185364537344%29
2021-06-18 01:55:45,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811169158659756032
2021-06-18 01:45:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6811339347774767104
2021-06-17 17:14:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811119483302793216
2021-06-17 08:41:06,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811105049893326848
2021-06-17 02:41:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810820943498346497
2021-06-17 02:36:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6807715914717401088
2021-06-17 02:35:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810656762346123264
2021-06-17 02:25:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810855404231372800
2021-06-17 02:19:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810733883143794688
2021-06-17 02:18:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6810524468574863360
2021-06-17 02:16:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810273895824941056
2021-06-17 02:11:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6809703728346603520
2021-06-17 02:08:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809324548677267456
2021-06-17 02:05:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810800860684132353
2021-06-17 02:05:00,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810750317169258496
2021-06-15 12:27:51,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6808268679004897280
2021-06-15 12:19:38,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6808426096321794048
2021-06-15 12:14:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810451737963454464
2021-06-15 12:04:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810271376914690048
2021-06-15 11:54:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810211540717977600
2021-06-15 11:48:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810516336557486080
2021-06-15 11:47:05,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6800658197439909888
2021-06-15 11:35:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810210916186120192
2021-06-15 11:33:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810079795578208256
2021-06-15 11:32:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810415618542596096
2021-06-15 11:32:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809047162329079808
2021-06-15 11:28:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810126912812265472
2021-06-13 11:46:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809374519417991168
2021-06-13 11:43:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809740636623802368
2021-06-13 11:41:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6806927037866102784
2021-06-13 11:40:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809306234290745344
2021-06-13 11:40:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809683090072567809
2021-06-13 11:35:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809110354191380480?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6809110354191380480%2C6809116273167876096%29
2021-06-13 11:34:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809110354191380480?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6809110354191380480%2C6809354963131604992%29
2021-06-13 11:25:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809688266007216128
2021-06-13 11:21:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809758463091101696
2021-06-10 15:22:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6808307382641319936
2021-06-10 15:21:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6806950462269595648
2021-06-10 15:19:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6807351910274740224
2021-06-10 15:12:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6806950703257538560
2021-06-10 15:10:40,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6806172419636760577
2021-06-10 14:10:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6807659183597506560
2021-06-10 14:09:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6808611974348378112
2021-06-10 14:02:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6808596159981084672
2021-06-10 14:01:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6806486353791066112
2021-06-10 14:01:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6807648948145192961
2021-06-10 13:55:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6808724665587027968
2021-06-10 13:54:31,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6808389725284634624
